Country;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Argentina;300.421;112.458;142.431;164.911;199.273;232.892;287.921;363.545;334.633;424.729;527.644;579.666;611.471;563.614;642.464;556.774;643.861;517.244;444.458;382.76;416.938;441.586
Bolivia;8.155;7.917;8.092;8.785;9.573;11.52;13.216;16.792;17.464;19.786;24.135;27.282;30.883;33.237;33.241;34.189;37.782;40.581;41.193;38.938;43.039;46.721
Brazil;559.982;509.798;558.232;669.29;891.633;1,107.63;1,397.11;1,695.86;1,669.20;2,208.70;2,614.03;2,464.05;2,471.72;2,456.05;1,800.05;1,796.62;2,062.84;1,885.47;1,839.08;1,363.77;1,431.62;1,562.62
Chile;70.971;69.73;75.643;99.226;123;154.864;173.569;179.484;172.526;218.322;252.101;267.028;278.353;260.483;243.907;250.369;276.981;298.204;282.254;245.414;280.167;304.469
Colombia;97.566;97.313;94.034;116.336;145.601;161.793;206.23;242.504;232.469;286.499;334.966;370.692;382.093;381.241;293.493;282.72;311.89;333.495;323.561;264.933;280.401;296.234
Ecuador;24.468;28.549;32.433;36.592;41.507;46.802;51.008;61.763;62.52;69.555;79.277;87.925;95.13;101.726;99.29;99.938;104.296;107.562;107.436;93.078;99.247;102.803
Mexico;756.693;772.11;729.335;782.243;877.477;975.383;1,052.70;1,109.99;900.047;1,057.80;1,180.49;1,201.09;1,274.44;1,315.36;1,171.87;1,078.49;1,158.91;1,222.41;1,258.21;1,040.37;1,094.53;1,145.64
Paraguay;8.496;7.196;7.691;9.624;10.738;13.43;17.856;24.577;22.341;27.108;33.696;33.308;38.736;40.277;36.164;36.054;39.009;40.385;37.433;35.606;38.287;41.172
Peru;51.034;53.954;58.537;66.126;74.232;87.459;102.187;121.754;121.493;148.931;170.983;192.882;202.091;202.308;191.316;194.384;214.148;225.249;230.738;195.761;210.733;224.509
Uruguay;20.907;13.632;12.067;13.708;17.398;19.62;23.461;30.366;31.661;40.285;47.962;51.266;57.531;57.236;53.275;52.687;59.53;59.828;56.686;54.135;57.742;60.944
Venezuela;123.119;95.258;83.684;112.254;143.375;178.521;232.857;306.764;268.624;318.281;352.54;352.191;258.993;203.822;323.595;279.249;143.841;98.4;63.96;48.61;43.749;41.561
